Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-June-2022,568.00,568.00,555.00,560.59,558.637820512820512820,1248,68,697180.00,944,75.64,13.00,-7.41
17-June-2022,558.00,559.90,554.00,557.57,556.795914864400961208,5826,200,3243893.00,4460,76.55,5.90,-0.43
16-June-2022,572.00,574.84,557.45,559.74,562.590105240316805902,9217,199,5185393.00,7144,77.51,17.39,-12.26
15-June-2022,584.00,584.00,569.11,570.65,571.793423957244103636,8607,106,4921426.00,4274,49.66,14.89,-13.35
14-June-2022,579.00,579.00,568.31,571.77,572.940026075619295958,2301,101,1318335.00,1949,84.70,10.69,-7.23
13-June-2022,587.00,587.00,570.35,574.39,573.707819506726457399,7136,185,4093979.00,5702,79.90,16.65,-12.61
10-June-2022,598.00,598.00,587.00,589.22,590.221892025755324418,2019,88,1191658.00,2013,99.70,11.00,-8.78
9-June-2022,594.10,597.99,589.00,597.99,593.558421851289833080,659,44,391155.00,555,84.22,8.99,3.89
8-June-2022,597.90,599.19,592.35,595.86,596.666000000000000000,500,120,298333.00,399,79.80,6.84,-2.04
7-June-2022,600.10,600.10,594.10,597.90,597.450722733245729303,1522,64,909320.00,1021,67.08,6.00,-2.20
6-June-2022,600.10,603.23,595.10,602.80,600.134759759759759759,2664,67,1598759.00,2480,93.09,8.13,2.70
3-June-2022,603.00,609.56,601.00,602.66,605.730257320319432120,1127,166,682658.00,801,71.07,8.56,-0.34
2-June-2022,608.00,608.00,597.11,601.01,601.047852760736196319,815,32,489854.00,514,63.07,10.89,-6.99
1-June-2022,603.00,607.98,595.44,598.57,600.438709677419354838,775,70,465340.00,591,76.26,12.54,-4.43
31-May-2022,600.10,603.00,596.00,598.81,600.179415855354659248,719,55,431529.00,548,76.22,7.00,-1.29
30-May-2022,592.00,603.99,592.00,603.15,599.668971477960242005,1157,117,693817.00,524,45.29,11.99,11.15
27-May-2022,585.00,591.50,585.00,589.96,589.637647058823529411,425,45,250596.00,391,92.00,6.50,4.96
26-May-2022,584.00,584.29,577.50,584.29,579.658402203856749311,726,32,420832.00,614,84.57,6.79,0.29
25-May-2022,587.00,587.61,579.42,580.51,584.346533384595668332,7803,107,4559656.00,6411,82.16,8.19,-6.49
24-May-2022,594.40,594.40,581.11,582.60,583.565333333333333333,1125,98,656511.00,956,84.98,13.29,-11.80
23-May-2022,584.90,590.98,580.85,587.70,587.934782608695652173,3082,73,1812015.00,2851,92.50,10.13,2.80
20-May-2022,588.00,588.00,575.10,581.87,580.837438423645320197,406,57,235820.00,336,82.76,12.90,-6.13
19-May-2022,583.10,583.50,570.39,573.60,574.915711286936864201,6193,132,3560453.00,5822,94.01,13.11,-9.50
18-May-2022,587.00,592.00,583.60,586.79,588.221233312142403051,1573,50,925272.00,1528,97.14,8.40,-0.21
17-May-2022,577.00,586.69,577.00,586.24,580.987786259541984732,655,50,380547.00,534,81.53,9.69,9.24
16-May-2022,560.00,577.95,560.00,573.99,574.810665068903535050,1669,166,959359.00,1362,81.61,17.95,13.99
13-May-2022,584.34,584.34,569.36,571.48,575.836048006858122588,4666,223,2686851.00,2365,50.69,14.98,-12.86
12-May-2022,589.00,589.00,570.55,573.76,573.948762775685852608,7436,252,4267883.00,6433,86.51,18.45,-15.24
11-May-2022,588.00,589.99,577.30,584.25,582.432050990211700432,4393,125,2558624.00,2944,67.02,12.69,-3.75
10-May-2022,590.00,591.90,585.20,586.86,588.624525698516729906,5798,137,3412845.00,2647,45.65,6.70,-3.14
9-May-2022,594.80,594.80,583.00,589.94,587.455075508464255267,65688,156,38588749.00,63726,97.01,11.80,-4.86
6-May-2022,600.00,600.00,589.00,592.08,590.560848784892500739,64233,144,37933495.00,63381,98.67,11.00,-7.92
5-May-2022,622.00,622.00,600.00,602.94,608.812260950030845157,64840,191,39475387.00,62860,96.95,22.00,-19.06
4-May-2022,610.00,620.59,599.99,602.08,607.082203041512535963,2433,114,1477031.00,2344,96.34,20.60,-7.92
2-May-2022,613.00,614.49,605.10,612.00,612.565799256505576208,1345,100,823901.00,1253,93.16,9.39,-1.00
29-April-2022,621.00,622.99,610.84,615.38,621.544747081712062256,257,34,159737.00,245,95.33,12.15,-5.62
28-April-2022,614.90,620.05,612.35,616.00,616.590691307323750855,1461,82,900839.00,1031,70.57,7.70,1.10
27-April-2022,615.10,615.10,609.19,612.90,611.094537815126050420,1428,34,872643.00,1303,91.25,5.91,-2.20
26-April-2022,617.85,618.49,614.50,615.91,616.700956937799043062,418,26,257781.00,236,56.46,3.99,-1.94
25-April-2022,616.10,616.10,604.97,610.21,609.996844003606853020,2218,119,1352973.00,2143,96.62,11.13,-5.89
22-April-2022,620.00,621.60,613.60,619.17,618.044444444444444444,270,52,166872.00,235,87.04,8.00,-0.83
21-April-2022,619.00,624.00,613.10,622.26,620.920227920227920227,702,86,435886.00,618,88.03,10.90,3.26
20-April-2022,614.75,616.74,612.80,616.73,615.888440860215053763,744,18,458221.00,714,95.97,3.94,1.98
19-April-2022,628.00,628.00,609.00,612.36,613.932014205986808726,1971,58,1210060.00,1373,69.66,19.00,-15.64
18-April-2022,628.00,628.00,612.11,616.49,618.414900185223296974,9718,280,6009756.00,5030,51.76,15.89,-11.51
13-April-2022,635.00,636.99,625.22,630.23,631.488562091503267973,612,63,386471.00,587,95.92,11.77,-4.77
12-April-2022,644.00,644.00,627.10,634.00,633.865157480314960629,1016,90,644007.00,825,81.20,16.90,-10.00
